model,fold,roc_auc,pr_auc,log_loss,brier,f1,balanced_accuracy,time_sec
logistic,1,0.73,0.5,0.47,0.15,0.37,0.61,0.22
logistic,2,0.72,0.49,0.47,0.15,0.35,0.6,0.23
logistic,3,0.72,0.51,0.47,0.14,0.36,0.61,0.12
logistic,4,0.73,0.51,0.46,0.14,0.37,0.61,0.09
logistic,5,0.73,0.5,0.46,0.14,0.37,0.61,0.073
random_forest,1,0.79,0.57,0.46,0.15,0.56,0.71,12
random_forest,2,0.77,0.54,0.47,0.15,0.53,0.7,6.2
random_forest,3,0.78,0.55,0.47,0.15,0.54,0.7,4
random_forest,4,0.78,0.56,0.46,0.15,0.55,0.71,3.2
random_forest,5,0.78,0.56,0.47,0.15,0.53,0.7,1.8
boosting,1,0.79,0.55,0.54,0.18,0.55,0.73,38
boosting,2,0.77,0.54,0.55,0.18,0.53,0.71,30
boosting,3,0.78,0.54,0.55,0.18,0.53,0.71,23
boosting,4,0.78,0.57,0.54,0.18,0.54,0.72,21
boosting,5,0.78,0.56,0.54,0.18,0.53,0.71,20
xrfm,1,0.74,0.5,0.53,0.15,0.45,0.65,3.3e+02
xrfm,2,0.73,0.47,0.55,0.15,0.44,0.64,2e+02
xrfm,3,0.72,0.47,0.56,0.16,0.44,0.64,1.2e+02
xrfm,4,0.73,0.49,0.55,0.15,0.45,0.65,82
xrfm,5,0.73,0.48,0.56,0.15,0.47,0.65,76
stacking,1,0.79,0.57,0.42,0.13,0.49,0.67,4.4e+02
stacking,2,0.78,0.55,0.43,0.14,0.48,0.66,2.9e+02
stacking,3,0.78,0.56,0.43,0.13,0.48,0.66,2.2e+02
stacking,4,0.78,0.57,0.42,0.13,0.5,0.67,2e+02
stacking,5,0.78,0.56,0.43,0.13,0.49,0.66,2.1e+02
